time,flow
2020-07-29,0.0191377991720188
2020-07-30,0.0116447784569297
2020-07-31,0.00574146514529515
2020-08-01,0.00358573048433212
2020-08-02,0.002424316612074
2020-08-03,0.00973078982943357
2020-08-04,0.0876151569683652
2020-08-05,0.0890104460738132
2020-08-06,0.0746156986093747
2020-08-07,0.0416409898309287
2020-08-08,0.0101139571690613
2020-08-09,0.0138111527931499
2020-08-10,0.00400095857117474
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0.00153993483274644
2020-08-15,5.02748321292133e-05
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0.00499846257837999
2020-08-30,0.090097175744305
2020-08-31,0.0945195774738836
2020-09-01,0.0560913128194895
2020-09-02,0.0156828775299541
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,1.0786037031783e-05
2021-01-07,0.00215629607382218
2021-01-08,0.00282972483860472
2021-01-09,0.00208593978388817
2021-01-10,0.000987270557933786
2021-01-11,0.000469541994809079
2021-01-12,0.000571669064956008
2021-01-13,0.000585312320949074
2021-01-14,0.00066310793225154
2021-01-15,0.000579158279399989
2021-01-16,0.000741818015335222
2021-01-17,0.00216641000316007
2021-01-18,0.00183430001425983
2021-01-19,0.00169715643230612
2021-01-20,0.00157272539350137
2021-01-21,0.00102239062204424
2021-01-22,0.00100672261815756
2021-01-23,0.00114869648615296
2021-01-24,0.00141529497569705
2021-01-25,0.00169843911027282
2021-01-26,0.00287970560610506
2021-01-27,0.00260553027928261
2021-01-28,0.00231489828046271
2021-01-29,0.00147423555166219
2021-01-30,0.00124071633376022
